step,north_queue,south_queue,east_queue,west_queue,emergency_active,phase
580,0,0,2,2,False,0
581,0,0,2,2,False,0
582,0,0,2,2,False,0
583,0,0,2,2,False,0
584,0,0,2,2,False,0
585,0,0,3,3,False,0
586,0,0,3,3,False,0
587,0,0,3,3,False,0
588,0,0,4,3,False,0
589,0,0,3,3,False,0
590,0,0,3,3,False,0
591,0,0,3,3,False,0
592,0,0,3,3,False,0
593,0,0,3,3,False,1
594,0,0,3,3,False,1
595,0,0,3,3,False,1
596,0,0,2,3,False,2
597,0,0,1,2,False,2
598,0,0,0,1,False,2
599,0,1,0,0,False,2
600,0,1,0,0,False,2
601,0,1,0,0,False,2
602,1,1,0,0,False,2
603,1,1,0,0,False,2
604,1,1,0,0,False,2
605,1,1,0,0,False,2
606,1,1,0,0,False,2
607,1,1,0,0,False,2
608,2,2,0,0,False,2
609,2,2,0,0,False,2
610,2,2,0,0,False,2
611,2,2,0,0,False,2
612,3,2,0,0,False,2
613,3,2,0,0,False,2
614,3,2,0,0,False,2
615,3,2,0,0,False,2
616,3,3,0,0,False,2
617,4,3,0,0,False,2
618,4,3,0,0,False,2
619,4,3,0,0,False,2
620,4,3,0,0,False,2
621,4,3,0,0,False,2
622,4,3,0,0,False,2
623,4,3,0,0,False,2
624,5,4,0,0,False,2
625,5,4,0,0,False,2
626,5,4,0,0,False,2
627,5,4,0,0,False,2
628,5,4,0,0,False,2
629,5,4,0,0,False,2
630,6,4,0,0,False,2
631,6,4,0,0,False,2
632,6,5,0,0,False,2
633,6,5,0,0,False,2
634,6,5,0,0,False,2
635,6,5,0,0,False,2
636,7,5,0,0,False,2
637,7,5,0,0,False,2
638,7,5,0,0,False,3
639,7,6,0,0,False,3
640,8,6,0,0,False,3
641,7,5,0,0,False,0
642,6,4,0,0,False,0
643,5,3,0,0,False,0
644,4,2,0,1,False,0
645,3,1,0,1,False,0
646,2,0,0,2,False,0
647,1,0,0,1,False,0
648,1,0,0,1,False,0
649,0,0,0,1,False,0
650,0,0,0,1,False,0
651,0,0,0,1,False,0
652,0,0,0,1,False,0
653,0,0,0,1,False,0
654,0,0,0,1,False,0
655,0,0,0,1,False,0
656,0,0,1,1,False,0
657,0,0,1,1,False,0
658,0,0,1,1,False,0
659,0,0,1,1,False,0
660,0,0,2,2,False,0
661,0,0,1,2,False,0
662,0,0,1,2,False,0
663,0,0,1,2,False,0
664,0,0,1,2,False,0
665,0,0,1,2,False,0
666,0,0,1,2,False,0
667,0,0,1,2,False,0
668,0,0,1,3,False,0
669,0,0,1,4,False,0
670,0,0,1,3,False,0
671,0,0,1,3,False,0
672,0,0,1,3,False,0
673,0,0,2,3,False,0
674,0,0,3,3,False,0
675,0,0,2,3,False,0
676,0,0,2,3,False,0
677,0,0,2,3,False,0
678,0,0,2,3,False,0
679,0,0,2,3,False,0
680,0,0,2,4,False,0
681,0,0,2,5,False,0
682,0,0,2,4,False,0
683,0,0,2,4,False,1
684,0,0,2,4,False,1
685,0,0,2,4,False,1
686,0,0,2,3,False,2
687,0,1,1,2,False,2
688,0,1,0,1,False,2
689,0,1,0,0,False,2
690,0,1,0,0,False,2
691,0,1,0,0,False,2
692,1,1,0,0,False,2
693,1,1,0,0,False,2
694,1,1,0,0,False,2
695,1,1,0,0,False,2
696,1,2,0,0,False,2
697,1,2,0,0,False,2
698,2,2,0,0,False,2
699,2,2,0,0,False,2
700,2,2,0,0,False,2
701,2,2,0,0,False,2
702,2,2,0,0,False,2
703,2,3,0,0,False,2
704,3,3,0,0,False,2
705,3,3,0,0,False,2
706,3,3,0,0,False,2
707,3,3,0,0,False,2
708,3,3,0,0,False,2
709,4,3,0,0,False,2
710,4,3,0,0,False,2
711,4,4,0,0,False,2
712,4,4,0,0,False,2
713,4,4,0,0,False,2
714,5,4,0,0,False,2
715,5,4,0,0,False,2
716,5,4,0,0,False,2
717,5,4,0,0,False,2
718,5,4,0,0,False,2
719,5,4,0,0,False,2
720,5,4,0,0,False,2
721,6,5,0,0,False,2
722,6,5,0,0,False,2
723,6,5,0,0,False,2
724,6,5,0,0,False,2
725,6,5,0,0,False,2
726,6,6,0,0,False,2
727,6,6,0,0,False,2
728,7,6,0,0,False,3
729,7,6,0,0,False,3
730,7,6,0,0,False,3
731,7,5,0,0,False,0
732,6,4,0,0,False,0
733,5,3,0,0,False,0
734,4,2,0,0,False,0
735,3,2,0,0,False,0
736,3,1,0,0,False,0
737,2,0,0,0,False,0
738,1,0,0,0,False,0
739,0,0,0,0,False,0
740,0,0,0,1,False,0
741,0,0,1,2,False,0
742,0,0,1,1,False,0
743,0,0,1,1,False,0
744,0,0,1,1,False,0
745,0,0,1,1,False,0
746,0,0,2,1,False,0
747,0,0,1,1,False,0
748,0,0,1,1,False,0
749,0,0,1,1,False,0
750,0,0,1,1,False,0
751,0,0,1,1,False,0
752,0,0,1,1,False,0
753,0,0,1,3,False,0
754,0,0,1,2,False,0
755,0,0,1,2,False,0
756,0,0,1,2,False,0
757,0,0,1,2,False,0
758,0,0,2,2,False,0
759,0,0,2,2,False,0
760,0,0,2,2,False,0
761,0,0,3,2,False,0
762,0,0,2,2,False,0
763,0,0,2,2,False,0
764,0,0,2,2,False,0
765,0,0,2,4,False,0
766,0,0,2,3,False,0
767,0,0,2,3,False,0
768,0,0,2,3,False,0
769,0,0,2,3,False,0
770,0,0,2,3,False,0
771,0,0,2,3,False,0
772,0,0,2,3,False,0
773,0,0,3,3,False,1
774,0,0,3,3,False,1
775,0,0,4,3,False,1
776,0,0,2,2,False,2
777,0,0,1,1,False,2
778,0,0,0,1,False,2
779,0,0,0,0,False,2
780,0,0,0,0,False,2
781,0,0,0,0,False,2
782,0,0,0,0,False,2
783,1,1,0,0,False,2
784,1,1,0,0,False,2
785,1,1,0,0,False,2
786,1,1,0,0,False,2
787,1,1,0,0,False,2
788,2,1,0,0,False,2
789,2,1,0,0,False,2
790,2,1,0,0,False,2
791,2,1,0,0,False,2
792,2,1,0,0,False,2
793,2,2,0,0,False,2
794,2,2,0,0,False,2
795,3,2,0,0,False,2
796,3,2,0,0,False,2
797,3,2,0,0,False,2
798,3,2,0,0,False,2
799,3,3,0,0,False,2
800,4,3,0,0,False,2
801,4,3,0,0,False,2
802,4,3,0,0,False,2
803,4,3,0,0,False,2
804,4,3,0,0,False,2
805,5,3,0,0,False,2
806,5,3,0,0,False,2
807,5,3,0,0,False,2
808,5,3,0,0,False,2
809,5,4,0,0,False,2
810,5,4,0,0,False,2
811,6,4,0,0,False,2
812,6,4,0,0,False,2
813,6,4,0,0,False,2
814,6,4,0,0,False,2
815,6,4,0,0,False,2
816,7,5,0,0,False,2
817,7,5,0,0,False,2
818,7,5,0,0,False,3
819,7,5,0,0,False,3
820,7,5,0,0,False,3
821,6,4,0,0,False,0
822,6,4,0,1,False,0
823,5,3,0,1,False,0
824,4,2,0,1,False,0
825,3,1,0,2,False,0
826,2,0,0,1,False,0
827,2,0,0,1,False,0
828,1,0,0,1,False,0
829,0,0,0,1,False,0
830,0,0,1,1,False,0
831,0,0,1,1,False,0
832,0,0,1,1,False,0
833,0,0,2,1,False,0
834,0,0,1,1,False,0
835,0,0,1,1,False,0
836,0,0,1,1,False,0
837,0,0,1,3,False,0
838,0,0,1,2,False,0
839,0,0,1,2,False,0
840,0,0,1,2,False,0
841,0,0,1,2,False,0
842,0,0,1,2,False,0
843,0,0,1,2,False,0
844,0,0,1,2,False,0
845,0,0,1,2,False,0
846,0,0,1,2,False,0
847,0,0,3,2,False,0
848,0,0,2,3,False,0
849,0,0,2,4,False,0
850,0,0,2,3,False,0
851,0,0,2,3,False,0
852,0,0,2,3,False,0
853,0,0,2,3,False,0
854,0,0,2,3,False,0
855,0,0,2,3,False,0
856,0,0,2,3,False,0
857,0,0,2,3,False,0
858,0,0,3,3,False,0
859,0,0,3,3,False,0
860,0,0,3,3,False,0
861,0,0,4,5,False,0
862,0,0,3,4,False,0
863,0,0,3,4,False,1
864,0,0,3,4,False,1
865,0,0,3,4,False,1
866,0,0,2,3,False,2
867,0,0,1,2,False,2
868,0,0,0,1,False,2
869,0,0,0,0,False,2
870,0,1,0,0,False,2
871,1,1,0,0,False,2
872,1,1,0,0,False,2
873,1,1,0,0,False,2
874,1,1,0,0,False,2
875,1,1,0,0,False,2
876,1,1,0,0,False,2
877,2,1,0,0,False,2
878,2,1,0,0,False,2
879,2,1,0,0,False,2
880,2,1,0,0,False,2
881,2,1,0,0,False,2
882,2,2,0,0,False,2
883,2,2,0,0,False,2
884,3,2,0,0,False,2
885,3,2,0,0,False,2
886,3,2,0,0,False,2
887,3,2,0,0,False,2
888,3,3,0,0,False,2
889,4,3,0,0,False,2
890,4,3,0,0,False,2
891,4,3,0,0,False,2
892,4,3,0,0,False,2
893,4,3,0,0,False,2
894,5,3,0,0,False,2
